"Code";"Product label";"Exported value in 2003";"Exported value in 2004";"Exported value in 2005";"Exported value in 2006";"Exported value in 2007";"Exported value in 2008";"Exported value in 2009";"Exported value in 2010";"Exported value in 2011";"Exported value in 2012";"Exported value in 2013";"Exported value in 2014";"Exported value in 2015";"Exported value in 2016";"Exported value in 2017";"Exported value in 2018";"Exported value in 2019";"Exported value in 2020";"Exported value in 2021";"Exported value in 2022"
"'6403";"Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of ...";129880;132729;157274;152433;193600;206650;214917;210024;208712;162242;173547;172336;134816;133969;117414;129151;115049;104649;107775;137004
"'8537";"Boards, panels, consoles, desks, cabinets and other bases, equipped with two or more apparatus ...";542;3140;3876;7086;5610;4568;8804;8836;14569;36444;66932;147343;28088;31333;44661;68402;69173;87480;118832;132607
"'8542";"Electronic integrated circuits; parts thereof";2866;4381;5372;16260;29781;36321;34425;51053;62918;66353;57850;54036;25245;48879;54576;65421;71886;76042;98224;124666
"'7326";"Articles of iron or steel, n.e.s. (excl. cast articles)";7699;10341;9812;9799;14219;17888;19415;17197;20341;37930;26821;52123;68943;65521;64271;68381;68357;89920;150559;121303
"'0306";"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine, ...";62065;61581;93205;115000;155170;135431;121540;174934;202037;180647;172465;178107;151796;153472;121043;90320;80019;69010;108341;117326
"'0302";"Fish, fresh or chilled (excl. fish fillets and other fish meat of heading 0304)";93078;93732;120334;129967;151159;149703;131175;100642;97129;81011;74002;89080;78495;79995;98503;126866;119345;109059;118974;116330
"'2511";"Natural barium sulphate ""barytes""; natural barium carbonate ""witherite"", whether or not calcined ...";14667;15793;17154;27778;30205;41024;32669;51667;62895;104178;102043;137131;121924;59454;84327;89694;98526;38880;98743;116239
"'8409";"Parts suitable for use solely or principally with internal combustion piston engine of heading ...";5354;17057;4556;11063;12685;13819;13929;15460;27039;37309;32529;59842;80086;121786;144952;193403;137258;129398;136952;113889
"'3004";"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic uses, put ...";13991;19361;23748;26164;36942;49295;47363;55973;52706;77158;93316;92028;82703;89898;90689;97614;98772;96723;119054;113882
"'2835";"Phosphinates ""hypophosphites"", phosphonates ""phosphites"" and phosphates; polyphosphates, whether ...";7;32;8;21;51;53;56;119;2827;1785;17;8108;9967;11622;23149;10132;2757;5767;14967;113625
