"Code";"Product label";"Exported value in 2003";"Exported value in 2004";"Exported value in 2005";"Exported value in 2006";"Exported value in 2007";"Exported value in 2008";"Exported value in 2009";"Exported value in 2010";"Exported value in 2011";"Exported value in 2012";"Exported value in 2013";"Exported value in 2014";"Exported value in 2015";"Exported value in 2016";"Exported value in 2017";"Exported value in 2018";"Exported value in 2019";"Exported value in 2020";"Exported value in 2021";"Exported value in 2022"
"'810520";"Cobalt mattes and other intermediate products of cobalt metallurgy; unwrought cobalt; cobalt ...";28267;67757;44363;43048;88868;113820;52795;58069;54911;36027;35113;42246;46991;40424;79337;108019;87018;77393;84293;92342
"'854460";"Electric conductors, for a voltage > 1.000 V, insulated, n.e.s.";8625;8467;12013;15848;17672;21787;16039;22528;24314;27179;30843;30300;71166;69347;70002;80806;75145;74821;93198;91963
"'283526";"Phosphates of calcium (excl. calcium hydrogenorthophosphate ""dicalcium phosphate"")";0;0;0;0;0;0;0;0;0;3;0;2549;5408;5896;7944;1952;11;12;8919;91484
"'880790";"Parts of aircraft and spacecraft, n.e.s.";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90184
"'854239";"Electronic integrated circuits (excl. such as processors, controllers, memories and amplifiers)";0;0;0;0;0;0;0;0;0;0;0;0;21280;20320;20691;24357;25782;44838;73560;89242
"'260700";"Lead ores and concentrates";7627;17105;16747;23130;72799;44487;44613;73386;98433;78731;76374;66943;58755;67518;82945;86968;75999;69856;82978;86593
"'080510";"Fresh or dried oranges";109194;102887;115864;125030;157703;195434;114559;119198;131248;85798;61322;68821;65003;54552;85110;83902;88580;89473;67644;86545
"'640610";"Uppers and parts thereof (excl. stiffeners and general parts made of asbestos)";67786;64719;56587;62326;69304;73416;67313;64238;80073;61767;72823;86305;71042;70168;75737;73381;67855;46566;58184;82980
"'300490";"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...";10586;16698;20454;22089;30276;40779;41103;47172;44605;68316;86934;85517;79286;83808;83682;83898;84416;66136;87257;82956
"'710691";"Silver, incl. silver plated with gold or platinum, unwrought (excl. silver in powder form)";31238;37574;50904;79809;86792;109838;106566;180906;233844;194706;139997;110805;103297;121549;114630;70455;93507;100111;108119;82566
"'030617";"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in ...";0;0;0;0;0;0;0;0;0;0;0;0;11353;13182;15596;20416;35610;35229;74477;80270
"'620520";"Men's or boys' shirts of cotton (excl. knitted or crocheted, nightshirts, singlets and other ...";99596;105284;100756;89995;109359;93639;79831;71126;90844;80289;75797;83155;65316;71466;62316;52389;64492;52381;80766;78617
"'252310";"Cement clinkers";4048;679;4970;2444;542;1;607;1050;2132;9452;42807;0;76735;62493;70646;60053;43592;43707;58926;78332
"'870829";"Parts and accessories of bodies for tractors, motor vehicles for the transport of ten or more ...";633;40;1289;3063;4713;4890;4576;11047;18454;13054;19957;39158;37687;43053;42132;52484;40734;47393;78354;77329
"'620463";"Women's or girls' trousers, bib and brace overalls, breeches and shorts of synthetic fibres ...";121847;95510;60179;75294;84124;56869;45921;51490;48729;57825;70070;86514;82324;97486;138171;153604;96649;67054;74082;76312
"'401693";"Gaskets, washers and other seals, of vulcanised rubber (excl. hard rubber and those of cellular ...";79;47;158;397;763;1205;4696;21582;7010;625;649;649;459;2082;39541;69743;77101;81766;68739;74255
"'620451";"Women's or girls' skirts and divided skirts of wool or fine animal hair (excl. knitted or crocheted ...";4580;4595;5032;13352;4857;3660;1909;1290;1205;1045;14674;52632;59204;61165;61557;66239;70042;53405;76870;74026
"'210690";"Food preparations, n.e.s.";10756;9038;12989;14498;14866;18093;20566;22569;19972;18121;30157;33080;34982;42731;54015;91796;85967;46531;60855;73081
"'610990";"T-shirts, singlets and other vests of textile materials, knitted or crocheted (excl. cotton)";80809;75136;70117;111057;161095;119969;89116;82744;88249;84850;85833;78402;68960;84266;76004;75890;69591;44248;74264;72220
"'870822";"Front windscreens ""windshields"", rear windows and other windows for motor vehicles of headings ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70098
"'620432";"Women's or girls' jackets and blazers of cotton (excl. knitted or crocheted, wind-jackets and ...";25294;41362;57183;48812;49003;50830;35529;52796;44723;67345;33883;43406;20901;19521;22939;24751;16484;8396;40759;68974
"'150790";"Soya-bean oil and its fractions, whether or not refined (excl. chemically modified and crude)";1506;813;74;232;12240;10882;10410;15141;24898;14570;15249;21866;20979;18965;20766;9069;6714;28401;46002;68626
"'081010";"Fresh strawberries";16637;25231;28798;24940;25094;29920;30592;26399;70183;48653;37954;32879;44418;41773;51109;46987;68188;62786;77755;68576
"'080719";"Fresh melons (excl. watermelons)";12503;20958;30462;38444;53763;61233;65504;55326;51927;50245;51154;48113;45642;38412;54389;67957;59743;61377;72291;66800
"'121190";"Plants, parts of plants, incl. seeds and fruits, used primarily in perfumery, in pharmacy or ...";16402;15808;20277;22148;25510;28266;22214;24824;31883;29164;33845;39560;40627;41466;49817;62407;63927;54649;68027;65162
"'260800";"Zinc ores and concentrates";33961;38676;62702;118076;85988;40870;24719;43740;39803;40067;37715;44494;45704;55709;83208;83133;55530;43213;63952;64476
"'620469";"Women's or girls' trousers, bib and brace overalls, breeches and shorts of textile materials ...";99173;91089;81027;92563;111499;108391;112294;94427;89173;94142;94106;95235;91387;84704;94219;109648;95222;52595;69062;62106
"'610443";"Women's or girls' dresses of synthetic fibres, knitted or crocheted (excl. petticoats)";5868;7779;7867;9138;20636;16759;27275;38407;42972;42513;48469;52452;37717;54495;51700;56434;52818;29123;42926;61965
"'160415";"Prepared or preserved mackerel, whole or in pieces (excl. minced)";23658;27174;37886;47121;49040;49742;57884;55301;68090;68378;75211;70976;57525;64070;55587;62645;60380;58641;65625;60626
"'081120";"Frozen raspberries, blackberries, mulberries, loganberries, black-, white- or red currants ...";0;0;59;0;18;384;1332;177;1800;1836;6939;9865;6119;5732;1938;1337;2173;4652;22749;58865
"'621133";"Men's or boys' tracksuits and other garments, n.e.s. of man-made fibres (excl. knitted or ...";72487;81835;98213;102429;107599;111343;94821;84480;95244;81324;82315;97454;78080;71974;79227;92447;71029;53393;67180;58146
"'160416";"Prepared or preserved anchovies, whole or in pieces (excl. minced)";44553;40377;39796;41093;40968;38364;47882;54684;45738;42550;42239;40457;33586;31985;47275;53902;49084;45570;53075;58133
